run_id,character,win,ascension,seed,acts_path,act_count,killed_by,run_time_seconds,run_time_minutes,deck_size,unique_deck_cards,relic_count,floor_count,final_floor,final_floor_type,final_encounter,final_current_hp,final_max_hp,final_gold,total_turns,total_damage_taken,total_hp_healed,total_cards_offered,total_cards_picked,total_potions_used,total_potions_gained,total_monsters,build_id,timestamp,total_players
1781550226,Silent,False,4,CV1ZV50PNN,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,14,0.23,12,5,2,1,1.0,ancient,EVENT.NEOW,0.0,70.0,99.0,0,0,56,0,0,0,0,0,v0.103.3,1781550226,1
1781549277,Silent,False,4,N6HTD25SN5,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.BYRDONIS_ELITE,762,12.7,25,16,5,15,15.0,elite,ENCOUNTER.BYRDONIS_ELITE,0.0,70.0,111.0,36,56,56,25,6,2,3,12,v0.103.3,1781549277,1
1781548805,Silent,False,4,ADULYGC1B4,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.FLYCONID_NORMAL,399,6.65,17,9,3,8,8.0,monster,ENCOUNTER.FLYCONID_NORMAL,0.0,70.0,278.0,25,56,56,9,3,0,0,7,v0.103.3,1781548805,1
1781484745,Silent,False,4,BNFR20DS71,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.DOORMAKER_BOSS,4729,78.82,41,29,14,48,48.0,boss,ENCOUNTER.DOORMAKER_BOSS,0.0,76.0,41.0,108,229,229,135,21,6,11,42,v0.103.3,1781484745,1
1781217192,Regent,True,3,0UXSS9US8A,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,6008,100.13,28,21,18,45,45.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,17.0,89.0,124.0,106,227,244,86,15,21,22,27,v0.103.3,1781217192,2
1781175779,Silent,True,3,14ZZGC9GT4,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4690,78.17,35,23,14,48,48.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,18.0,80.0,127.0,147,348,366,96,18,13,14,35,v0.103.3,1781175779,1
1780961235,Regent,False,3,W3HSSWY0YT,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.DECIMILLIPEDE_ELITE,3211,53.52,28,17,11,29,29.0,elite,ENCOUNTER.DECIMILLIPEDE_ELITE,0.0,75.0,137.0,75,175,175,49,13,6,8,22,v0.103.3,1780961235,2
1780959402,Regent,False,3,18YX62J4LW,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.SOUL_FYSH_BOSS,1806,30.1,18,13,5,16,16.0,boss,ENCOUNTER.SOUL_FYSH_BOSS,0.0,79.0,159.0,56,97,97,27,7,3,4,13,v0.103.3,1780959402,2
1780858880,Regent,False,3,4N3B6K6DPG,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.MECHA_KNIGHT_ELITE,3237,53.95,32,26,13,42,42.0,elite,ENCOUNTER.MECHA_KNIGHT_ELITE,0.0,57.0,274.0,84,195,195,80,18,14,14,39,v0.103.3,1780858880,1
1780851438,Regent,False,3,CX9XRVGREN,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KAISER_CRAB_BOSS,5112,85.2,31,20,13,33,33.0,boss,ENCOUNTER.KAISER_CRAB_BOSS,0.0,81.0,131.0,94,180,180,77,16,8,8,29,v0.103.3,1780851438,1
1780767913,Regent,True,2,ZKCLDB5DZ0,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4304,71.73,30,21,21,48,48.0,boss,ENCOUNTER.DOORMAKER_BOSS,74.0,79.0,6.0,125,209,283,107,19,20,25,43,v0.103.3,1780767913,1
1780694464,Regent,True,2,65QEC2DCX0,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,6676,111.27,25,21,14,45,45.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,62.0,67.0,44.0,99,103,165,99,16,11,15,35,v0.103.3,1780694464,3
1780691091,Regent,False,2,KLT45B1932,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,2,0.03,10,4,1,0,,,,,,,0,0,0,0,0,0,0,0,v0.103.3,1780691091,1
1780601072,Regent,True,1,D7KWEX0MCC,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,6092,101.53,49,28,16,48,48.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,53.0,75.0,104.0,132,216,269,97,19,11,12,44,v0.103.3,1780601072,1
1780440192,Silent,True,2,GBCT0FBLR5,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,5354,89.23,36,24,14,45,45.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,33.0,80.0,194.0,82,179,212,66,20,16,16,29,v0.103.3,1780440192,3
1780436527,Silent,False,2,5YK5L1HPT6,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.CHOMPERS_NORMAL,3541,59.02,27,18,12,26,26.0,monster,ENCOUNTER.CHOMPERS_NORMAL,0.0,61.0,209.0,85,160,160,43,12,7,7,21,v0.103.3,1780436527,3
1780414616,Silent,True,2,N8EGEEKA0F,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4672,77.87,41,28,18,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,77.0,80.0,68.0,131,146,223,93,22,6,8,45,v0.103.2,1780414616,1
1780339506,Silent,False,2,HJ3RFL5KV7,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.BYRDONIS_ELITE,821,13.68,23,15,6,12,12.0,elite,ENCOUNTER.BYRDONIS_ELITE,2.0,70.0,103.0,32,54,56,36,7,4,5,12,v0.103.2,1780339506,1
1780319118,Necrobinder,False,4,LFEHAF83X9,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.QUEEN_BOSS,4595,76.58,40,29,14,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,0.0,65.0,296.0,127,265,265,86,26,10,13,53,v0.103.2,1780319118,1
1780270025,Defect,True,1,Z1QR6K90T3,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,8453,140.88,39,30,15,45,45.0,boss,ENCOUNTER.DOORMAKER_BOSS,17.0,51.0,33.0,119,192,209,91,21,8,10,38,v0.103.2,1780270025,4
1780266320,Defect,False,1,8JRAT1NCTU,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.EXOSKELETONS_NORMAL,2795,46.58,22,17,9,21,21.0,monster,ENCOUNTER.EXOSKELETONS_NORMAL,0.0,80.0,208.0,49,155,155,37,10,4,4,18,v0.103.2,1780266320,3
1780229507,Necrobinder,False,4,5VZ2JL7KJS,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KAISER_CRAB_BOSS,3480,58.0,31,25,9,33,33.0,boss,ENCOUNTER.KAISER_CRAB_BOSS,0.0,83.0,365.0,106,179,186,68,17,5,6,31,v0.103.2,1780229507,1
1780170424,Necrobinder,True,3,17HW2A3W72,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,4638,77.3,42,33,15,48,48.0,boss,ENCOUNTER.DOORMAKER_BOSS,54.0,66.0,201.0,134,168,222,114,27,10,13,38,v0.103.2,1780170424,1
